Entity,Code,Day,Training computation (petaFLOP),Domain,time
Tranception,,2022-05-27,7240000.5,Biology,2022-05-27
TransE,,2013-12-05,1340.928,Language,2013-12-05
Transformer (2017),,2017-06-12,7424.525,Language,2017-06-12
Transformer (Adaptive Input Embeddings) WT103,,2018-09-28,44700,Language,2018-09-28
Transformer + Simple Recurrent Unit,,2018-09-17,11000,Language,2018-09-17
Transformer local-attention (NesT-B),,2021-05-26,24057.602,Vision,2021-05-26
Transformer-XL (257M),,2019-01-09,378327.72,Language,2019-01-09
Transformer-XL DeFINE (141M),,2019-11-27,1742.76,Language,2019-11-27
Transformer-XL Large + Phrase Induction,,2019-06-04,378486.53,Language,2019-06-04
TransformerXL + spectrum control,,2020-03-11,26289.762,Language,2020-03-11
Translation-invariant MLP,,1987-06-15,0.000018032948,Other,1987-06-15
TrellisNet,,2018-10-15,2780,Language,2018-10-15
Turing ULRv5,,2021-09-28,28983952,Language,2021-09-28
Turing-NLG,,2020-02-13,15700000,Language,2020-02-13
Two Stage Feature Extraction (MNIST),,2009-09-01,0.020754,Vision,2009-09-01
U-Net,,2015-05-18,50.832253,Vision,2015-05-18
U-PaLM (540B),,2022-10-20,2530000100,Language,2022-10-20
UDSMProt,,2019-09-04,637,Biology,2019-09-04
UL2,,2022-05-10,120000000,Language,2022-05-10
UnifiedQA,,2020-05-02,16500,Language,2020-05-02
Unsupervised High-level Feature Learner,,2012-07-12,600,Vision,2012-07-12
VALL-E,,2023-01-05,10100,Multiple domains,2023-01-05
VD-LSTM+REAL Large,,2016-11-04,21.3,Language,2016-11-04
VGG16,,2014-09-04,12291,Vision,2014-09-04
VGG19,,2014-09-04,11000,Vision,2014-09-04
VILA-13B,,2023-12-12,2300313.5,Other,2023-12-12
VILA1.5-13B,,2024-05-03,2300313.5,Multiple domains,2024-05-03
"Variational (untied weights, MC) LSTM (Large)",,2015-12-16,5.886144,Language,2015-12-16
Vega v2,,2022-12-04,77600000,Language,2022-12-04
ViT-22B,,2023-02-10,193248000,Vision,2023-02-10
ViT-G (model soup),,2022-03-10,3400000.2,Vision,2022-03-10
ViT-G/14,,2021-06-08,58500000,Vision,2021-06-08
ViT-Huge/14,,2020-10-22,4262000,Vision,2020-10-22
VideoMAE V2,,2023-03-29,9700000,Other,2023-03-29
Visualizing CNNs,,2013-11-12,532,Vision,2013-11-12
Volcano 13B,,2023-11-13,45600000,Multiple domains,2023-11-13
WeNet (Penn Treebank),,2019-04-08,730,Language,2019-04-08
Weight Decay,,1991-12-02,0.000075474,Speech,1991-12-02
Whisper,,2022-09-21,4207266.5,Speech,2022-09-21
Word2Vec (large),,2013-10-16,38.879997,Language,2013-10-16
XGLM-7.5B,,2021-12-20,22500000,Language,2021-12-20
XLM-RoBERTa,,2019-11-05,20760000,Language,2019-11-05
XLMR-XXL,,2021-08-17,33660000,Language,2021-08-17
XLNet,,2019-06-01,6190000,Language,2019-06-01
Xception,,2016-10-07,436000,Vision,2016-10-07
YOLOX-X,,2021-08-06,634275,Vision,2021-08-06
YOLOv3,,2018-04-08,13416.381,Vision,2018-04-08
Yi-34B,,2023-11-02,610000060,Language,2023-11-02
Yi-Large,,2024-05-13,1800000000,Language,2024-05-13
Yi-Lightning,,2024-10-18,1500000000,Language,2024-10-18
Yuan 1.0,,2021-10-12,353800030,Language,2021-10-12
Zidong Taichu,,2021-08-11,801600,Multiple domains,2021-08-11
Zip CNN,,1989-12-01,0.001496338,Vision,1989-12-01
aLSTM(depth-2)+RecurrentPolicy (WT2),,2018-05-22,72.96,Language,2018-05-22
base LM+GNN+kNN,,2021-10-17,52587.457,Language,2021-10-17
eDiff-I,,2022-11-02,54600.004,Image generation,2022-11-02
genCNN + dyn eval,,2015-03-17,34.15345,Language,2015-03-17
gpt-oss-120b,,2025-08-05,4940000000,Language,2025-08-05
gpt-oss-20b,,2025-08-05,549000000,Language,2025-08-05
iCCCP,,2010-06-13,1.08,Vision,2010-06-13
mT5-XXL,,2020-10-20,82000000,Language,2020-10-20
nekomata-14b,,2023-12-21,255620000,Language,2023-12-21
trRosetta,,2019-08-22,38047.97,Biology,2019-08-22
wave2vec 2.0 LARGE,,2020-10-22,3870720,Speech,2020-10-22
xTrimoPGLM -100B,,2023-07-06,620000000,Biology,2023-07-06
